name,agency,agreeableness,attractiveness,competence,conscientiousness,dominance,experience,extraversion,intelligence,neuroticism,openness,trustworthiness,warmth
Cesar Chavez,71.06521739,47.51162791,42.03278689,71.31372549,60.73584906,75.01851852,76.125,66,62.96296296,53.91666667,53.76785714,46.01886792,43.7755102
Bill Nye,74.94642857,80.46153846,47.15151515,81.22222222,75.546875,49.64788732,79.53061224,71.36231884,88.15254237,38.73684211,76.73333333,79.37704918,72.58333333
Pablo Picasso,66.05454545,56.37037037,47.42647059,76.95454545,44.3968254,56.07142857,75.14,26.09230769,79.15625,66.56140351,78.58730159,58.96721311,53
William Shakespeare,70.68965517,63.44642857,50.47826087,84.20588235,69.10769231,63.20833333,82.90384615,42.51470588,82.89230769,54.80327869,70.6875,65.19047619,58.34920635
Abraham Lincoln,76.74576271,78.87931034,43.15492958,89.61764706,83.95384615,83.09722222,87.51923077,50,82.828125,26.46666667,65.33846154,84.09375,69.64615385
Mahatma Gandhi,74.43103448,79.69811321,43.66666667,86.35820896,88.44615385,56.07352941,88.01923077,44.29230769,81.74603175,14.25,68.56923077,83.93548387,81.44262295
Nancy Grace,58.36956522,28.60869565,37.15517241,48.78181818,40.70588235,64.83606557,47.37209302,76.09090909,47.22,69.24,32.58490566,37.16363636,32.22807018
Thomas Edison,80.5862069,61.55357143,41.39130435,88.50746269,76.64615385,72.07042254,83.84313725,38.73529412,89.27692308,43.01639344,76.01538462,69.25396825,51.75
Kim Kardashian,48.17857143,23.66071429,61.6,23.54411765,21.46031746,41.77464789,29.90384615,87.51388889,27.96875,73.53225806,52.01538462,22.74193548,28.28125
Sidney Poitier,70.29545455,67.97222222,61.32142857,70.78431373,68.75,62.30434783,71.10526316,54.83333333,73.58139535,30.38095238,63.02222222,66.88636364,67.45652174
Warren Buffett,81.59615385,61.59574468,36.20634921,79.88333333,82.03225806,77.58333333,72.79591837,49.2,81.26229508,29.86792453,53.28070175,62.90740741,59.63333333
Pharrell Williams,61.8372093,58.24444444,64.26315789,60.59649123,54.42105263,44.4137931,57.83333333,74.94915254,57.98076923,40.09259259,63.37037037,55.74,63.14
Cameron Diaz,65.27586207,60.35714286,79.08450704,55.98529412,43.22222222,40.62857143,60.2,75.63768116,52.55555556,48.14516129,56.33870968,54.29508197,62.375
Edward Snowden,67.35185185,54.02,47.21666667,68.55932203,58.5862069,54.5,64.84444444,34.65517241,71.57142857,53.52941176,62.59649123,50.3220339,44.81818182
Bill Gates,86.16666667,73.51724138,41.76056338,87.91304348,89.38461538,79.66666667,80.59615385,40.76388889,91.75384615,26.24590164,65.87692308,67.46875,69.328125
Bob Marley,61.98275862,68.24561404,57.68115942,66.6119403,48.328125,54.35714286,67.29411765,58.76811594,58.22222222,41.62295082,73.55555556,64.7,71.578125
Muhammad Ali,68.43103448,62.5,59.69565217,71.60606061,55.625,76.32857143,75.09803922,69.52941176,57.12698413,44.68852459,59.12121212,65.11290323,61.19047619
Ashton Kutcher,62.57894737,55.92727273,66.84057971,55.30769231,36.71428571,43.33802817,51.07692308,79.92647059,53.3015873,50.53225806,63.734375,43.25806452,57.69230769
Vladimir Putin,76.54385965,21.90740741,31.17910448,56.203125,51.8852459,87.390625,67.33333333,60.07692308,64.9516129,67.48275862,32.46774194,19.3015873,16.73015873
Melanie Griffith,65.70833333,52.925,57.78947368,55.2745098,43.23076923,36.87931034,51.84210526,66.16666667,50.55555556,57.75,53.14893617,52.73913043,58.09615385
Jimmy Fallon,64.64285714,71.01818182,59.53846154,68.47692308,41.72580645,44.26153846,64.08,83.61538462,60.50793651,39.31666667,72.6984127,62.73333333,70
Albert Einstein,80.47457627,76.48275862,43.32857143,94.14925373,83.49230769,69.14084507,85.80769231,30.8115942,97.83076923,43.50819672,78.29230769,83.78125,63.16923077
Bill Clinton,76.41666667,66.18965517,53.84285714,75.10294118,60.72307692,75.63888889,79.53846154,77.54166667,78.46153846,41.68852459,66.57575758,52.80952381,65.72307692
Dwayne Johnson,71.98039216,71.21276596,68.69491525,68.3559322,52.375,69.95238095,61.60465116,78.38095238,59.71666667,34.56603774,63.85964912,63,71.05172414
Will Smith,71.96610169,65.5862069,70.14285714,69.54411765,58.49206349,57.76388889,69.05769231,83.63888889,63.64615385,35,70.26153846,65.328125,71.72307692
Elizabeth II,69.7,52.95348837,46.5483871,72,70.70588235,79.36065574,73.04255319,44.54347826,63.41071429,41.16,41.54545455,58.86792453,56.6
Stephen Hawking,72.60344828,68.69642857,32.86567164,85.07692308,86.13114754,65.65151515,81.79166667,37.10294118,93.12903226,29.79661017,69.18032787,76.91666667,57.76666667
Cate Blanchett,69.11764706,55.04761905,74.69230769,66.74074074,57.0754717,42.52727273,60.48837209,57.18,59.32,38.81818182,66.75,62.28888889,63.67924528
Amelia Earhart,69.71428571,66.92727273,53.30434783,80.109375,59.67213115,61.91304348,74.98039216,47.45901639,69.34920635,34.56666667,75.42424242,73.06557377,64.50819672
George W. Bush,61.4,45.96551724,33.46478873,50.36764706,50.53846154,70.05633803,65.51923077,66.08333333,54.27692308,47.29032258,41.36363636,41.25,50.01538462
John Travolta,64.74137931,58.79310345,57.64285714,55.29850746,46.0483871,52.83098592,64.47058824,70.13043478,53.52307692,48.01612903,55.59090909,51.37096774,58.64615385
Michael Jordan,72.25862069,65.52631579,64.11428571,75.20588235,62.8,73.72222222,67.1372549,68.25,60.41538462,30.62903226,60.12121212,61.390625,57.0625
John Legend,64.20833333,63.29268293,62.42307692,65.03846154,60.7254902,45.98148148,61.94871795,60.83333333,61.16,29.68,64.34693878,57.67346939,63.65217391
"Martin Luther King, Jr.",74.24137931,84.70689655,59.49295775,90.42028986,87.06153846,78.13888889,84.75,77.88732394,82.09230769,27.53225806,73.89393939,81.84375,80.56923077
Matthew McConaughey,69.07017544,60.30909091,72.1641791,62.3125,45.9,52.84126984,62.53061224,72.86363636,53.65,38.76271186,65.96825397,57.17241379,68.06349206
Franklin D. Roosevelt,77.51724138,71.55172414,44.22058824,83.85294118,79.390625,83.61428571,82.71153846,61.1,84.32307692,29.86666667,62.81538462,70.6875,67.95384615
Snoop Dogg,62.20689655,57.48275862,46.01449275,54.72463768,28.15384615,56.65277778,59.34615385,77.13888889,49.44444444,46.80327869,65.13846154,47.3968254,56.07692308
Bruce Lee,68.94915254,68.01851852,64.1,76.24615385,70.06349206,71.48571429,72.70588235,52.6,68.6031746,38.08333333,60.28571429,72.03174603,63.078125
Robin Thicke,51.14893617,31.44,52.55,40.74137931,26.38983051,38.10526316,43.93023256,74.42857143,40.26315789,62.22807018,54.17647059,30.81034483,40.96551724
Mark Zuckerberg,76.23214286,49.94230769,41.67692308,74.81538462,66.84126984,66.37313433,63.43137255,42.65217391,81.64516129,52.75409836,62.74193548,40.69491525,40.68852459
Robert De Niro,75.3559322,62.51785714,57.44927536,73.50746269,60.66129032,68.7761194,68.75510204,64.84507042,67.328125,44.32258065,61.38709677,64.23333333,63.37704918
Howard Hughes,63.75,44.83783784,43.47368421,75.43137255,51.27083333,65.84782609,62.57777778,30.19047619,72.36170213,71.8,51.42,45.28888889,40.22
Bill Murray,70.25862069,75.24074074,52.05882353,68.96923077,42.53225806,53.44444444,71.39215686,71.13432836,68.046875,42.41666667,69.828125,67.32786885,73.77419355
Megan Fox,55.81818182,48.33962264,79.05797101,40.53968254,30.88709677,40.22727273,44.22,71.57352941,43.83870968,54.25,52.69491525,42.66071429,46.86666667
Ernest Hemingway,66.73214286,60.05555556,49.92307692,78.203125,54.80952381,60.63492063,84.75,29.62903226,79.40322581,61.45454545,64.12068966,64.30508475,52.11864407
James Dean,58.61538462,55.78,77.32835821,60.01724138,34.22413793,57.38333333,57.7826087,57.22033898,56.08474576,53.63636364,62.18333333,54.44642857,55.42105263
Justin Bieber,44.74576271,17.72413793,40.08571429,20.25,10.75384615,26.70833333,27.23076923,81.54166667,20.61538462,80.69354839,52.44615385,16.15873016,19.56923077
Martin Scorsese,72.77358491,56.04255319,41.27419355,75.51851852,62.11320755,67.89285714,71.91304348,50.83928571,72.80769231,47.4375,67.70175439,56.41509434,52.45283019
Barack Obama,70.41666667,60.20689655,57.54929577,67.11764706,75.8,71.47222222,77.44230769,73.64788732,72.83076923,31.70967742,60.60606061,51.609375,54.72307692
Bruno Mars,64.61403509,52.60784314,61.14516129,60.24590164,46.11666667,39.5,51.1875,73.90322581,56.64912281,39.79310345,61.16071429,55.66666667,60.09090909
Theodore Roosevelt,79.37931034,71.0862069,46.26470588,84.10294118,80.75,83.63380282,84.38461538,63.38571429,82.55384615,32.16666667,64.09230769,73.47619048,64.328125
Ryan Gosling,68.33333333,61.18867925,75.06060606,60.68333333,51.35483871,43.44444444,57.82222222,58.63333333,55.45901639,38.14545455,59.95,59.50877193,64.44827586
Ellen DeGeneres,74.18965517,73.36842105,57.77142857,72.60606061,59.27692308,52.43055556,70.44,85.18309859,66.875,38.03225806,78.29230769,70.58064516,74.625
Mark Wahlberg,67.90740741,61.22222222,69.27941176,65.26984127,51.3220339,61.06060606,63.71428571,68.875,57.15873016,42.95081967,63.75806452,59.06779661,64.44262295
Winston Churchill,75.98305085,65.05769231,39.62686567,84.66666667,76,83.44285714,83.52941176,56.4,82.80952381,35.64912281,53.86153846,70.29032258,58.19672131
Justin Timberlake,70.43103448,64.82142857,70.67142857,65.04411765,52.234375,48.81944444,61.96153846,80.875,59.24615385,41.01612903,65.34848485,53.33870968,67.546875
Keanu Reeves,67.64912281,62.09090909,65.91428571,57.88709677,49.83333333,42.89855072,55.32653061,46.40298507,56.78688525,45.83870968,59.765625,62.16393443,61.796875
Harrison Ford,76.74137931,67.44827586,68.08571429,76.04615385,62.14516129,62.5,67.84313725,59.94117647,64.71875,32.88333333,63.5625,69.80952381,64.87301587
Liza Minnelli,65.44230769,49.95744681,45.26153846,52.46666667,36.70175439,49.09836066,58.84444444,74.11320755,52.38888889,69.76,61.23214286,52.10909091,55.33333333
Kevin Bacon,68.89090909,62.58490566,58.47826087,66.2,55.09259259,50.12698413,63.62745098,66.26984127,57.44444444,37.9,58.51666667,63.48333333,66.04761905
